yr,mo,avg_price,min_price,max_price
2021,8,47156.01464476924,45711.630663051874,48150.75879293473
2021,9,46536.891162601074,45460.11642235784,47626.08445150431
2021,10,47394.193064733445,46454.56956302332,48225.52777869429
2021,11,48241.90055148408,46916.424579183265,49570.26867862772
2021,12,48089.6126434828,47031.054846373794,48920.69156167189
2022,1,48156.39921699416,47404.60887534059,49242.38868454332
2022,2,49565.799238308704,47792.61667366541,51158.603347264645
2022,3,52911.66300752351,51764.35298277936,55992.79587385076
2022,4,52443.109161202156,51428.16373830943,53893.762939295215
2022,5,50761.411911829884,49839.70029733726,51485.91784628443
2022,6,50966.603726582354,50359.44534136309,51857.10774493945
2022,7,50899.30001854507,50178.39614295655,52519.33664019322
2022,8,51810.93048165853,50461.14361230356,52943.49380050043
2022,9,49763.19443601731,48768.16334333343,50894.96798550603
2022,10,50666.202866475774,49515.0973694244,51859.181224989465
2022,11,52113.386685382975,49871.21602517574,53145.31746372404
2022,12,54758.0366463059,53206.88957885054,55737.00406976901
2023,1,57438.94261730235,56079.85117945186,58567.827063434575
2023,2,56559.83519884939,55252.67079811298,58282.2187195198
2023,3,58204.63380040383,54896.41172416924,60835.90003365932
2023,4,60661.87141962557,60117.863746660354,61858.667847785524
2023,5,60624.189174058374,59423.90253355285,61924.94514282958
2023,6,59020.62738125519,57902.07900385293,60456.91747369677
2023,7,59270.810307875974,58146.33365567009,60009.23432904776
2023,8,58713.653662000346,57948.928767756275,59367.49694362525
2023,9,58723.11295470591,56846.120258364856,59846.58246865799
2023,10,58942.01028599194,55960.38853534039,61564.227778800116
2023,11,61185.49417279102,59535.59060506665,63137.57789148928
2023,12,62506.93669998342,60945.646341754604,64029.77265503978
2024,1,62338.15573519709,61521.41289837091,63506.663822808325
2024,2,62132.172308645306,61132.955456702155,63042.86933901501
2024,3,66347.44215591342,63973.36712918096,68346.51046998276
2024,4,71935.99034147781,68935.0652475627,74085.05884134045
2024,5,72441.0683771622,70896.76572068196,74961.51883999012
2024,6,71802.8245206901,70909.98176479797,73073.17084337732
2024,7,72120.63523708362,67121.85229934845,76100.76512084775
2024,8,70535.98165399118,68379.814825687,72252.86514886103
2024,9,73480.88040185862,71216.68279051471,76089.20354589164
2024,10,76998.00553033735,74526.12244503011,79911.26398341068
2024,11,76165.87888815561,73862.58517535121,78588.99326865278
2024,12,76552.67916623999,75236.53496140019,79074.78568544282
2025,1,80040.29030408438,77111.10870779268,83354.47938249946
2025,2,85888.56266407306,83592.68154488936,87041.7806489322
