date,gold_inr_per_10g_landed,moving_avg_7d,moving_avg_30d,year_on_year_pct_change,day_30_rolling_volatility
2021-01-22,48205.513296356265,48185.65925696492,49308.27845266561,24.64,1.159667070672585
2021-01-25,48211.81323019299,48174.54269219296,49284.59248457104,23.96,1.0825016010276591
2021-01-26,48085.577924833175,48157.21280309558,49252.976175209384,23.38,1.0819642709286168
2021-01-27,47902.034446410486,48199.48101386215,49214.33538614114,21.66,1.0833076081626867
2021-01-28,47796.91734776764,48179.35198413687,49181.808311297995,21.82,1.0793577488223576
2021-01-29,47976.715290553824,48086.319798160876,49131.56887763093,24.28,1.044333434842351
2021-02-01,48305.995088142125,48069.22380346273,49091.1638384819,23.29,1.0537699334792363
2021-02-02,47658.369688791725,47991.06043095461,49004.77281783223,21.95,1.035827724121523
2021-02-03,47569.86850472393,47899.35404160193,48918.73648558457,22.96,1.0358197735482315
2021-02-04,46408.52854094486,47659.77555818856,48798.07912103633,16.86,1.1157828689069589
2021-02-05,47035.812813180135,47536.02961058489,48702.047611395516,19.16,1.1532114298777791
2021-02-08,47476.30602121773,47490.227992504835,48605.91399800529,18.04,1.1547909042799351
2021-02-09,47659.24673575812,47444.87534181987,48520.97254253676,19.78,1.1592927942285312
2021-02-10,47747.71915993336,47365.12163778926,48444.7967785125,19.97,1.1605140848572986
2021-02-11,47309.51071946957,47315.28464217058,48355.05876138161,20.12,1.1687887352013218
2021-02-12,47160.5283476102,47256.80747686965,48252.41652125816,17.21,1.1624342248225263
2021-02-16,46483.51364810752,47267.51963503659,48132.64190467745,14.4,1.1839065154363584
2021-02-17,45995.30709659356,47118.87596123985,47978.73877983242,16.62,1.166110299051789
2021-02-18,45968.09100918043,46903.41667380716,47811.70405560881,16.84,1.1507717119912042
2021-02-19,45908.960524135815,46653.37578643433,47681.31460479547,17.89,1.091529393914924
2021-02-22,46674.09319970409,46500.000649258494,47572.062722787756,20.11,1.143832872727717
2021-02-23,46544.64483375392,46390.734094157815,47524.71323377788,19.83,0.89773569160297
2021-02-24,46295.427258098476,46267.14822422819,47457.13850315611,19.35,0.8867170055538404
2021-02-25,45742.99360399013,46161.359646497025,47373.91966106097,19.0,0.9073930132327999
2021-02-26,45011.45186316423,46020.808898864045,47264.64708371361,16.58,0.9420888330667989
2021-03-01,45138.52183810041,45902.29901728034,47162.36824003309,15.56,0.9466883716888911
2021-03-02,45239.49713481895,45806.661390234316,47083.479578825834,15.7,0.929338870785747
2021-03-03,44755.37449125439,45532.55871759994,46977.39804333945,15.43,0.9287904479187862
2021-03-04,44121.16818778294,45186.34776817475,46827.17229651958,12.84,0.8982277151113017
2021-03-05,44215.89382481371,44889.27156341927,46686.846522312364,12.7,0.9032642675090562
2021-03-08,43688.237968061585,44595.7350440004,46536.270678035915,11.37,0.9176162713227595
2021-03-09,44821.38485486924,44568.58261424303,46423.256398858626,15.54,1.0601350319389344
2021-03-10,44609.678748395694,44493.03360142878,46307.3930929775,14.73,1.0609989990334883
2021-03-11,44587.54356747034,44399.8973775208,46196.91006367952,15.47,1.061248930861011
2021-03-12,44474.03254859354,44359.70567142538,46086.1472370401,19.0,1.061252515031861
2021-03-15,44744.24558471238,44448.716728129555,45978.3982468456,17.7,1.066670891763453
2021-03-16,44684.900574251675,44515.717692334736,45857.6950963825,15.76,1.0528877989386554
2021-03-17,44586.97232907555,44644.10831533798,45755.315184392035,14.97,1.0326920616523179
2021-03-18,44590.70787512082,44611.15446108793,45656.00983007203,15.25,1.0335002705921439
